id,locationid,applicant,Facilitytype,facilitytype,cnn,full_address,address,permit,Status,status,latitude,longitude,schedule,approved,Received,expiration
11,1185385,Philz Coffee Truck,Truck,1,8701000,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),15 MARINA BLVD,18MFF-0061,APPROVED,2,37.8045778690901,-122.433010774343,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0061&ExportPDF=1&Filename=18MFF-0061_schedule.pdf,07/12/2018 12:00:00 AM,2018-07-12,07/15/2019 12:00:00 AM
12,1184830,Liang Bai Ping,Truck,1,2710000,BANCROFT AVE: JENNINGS ST to KEITH ST (1500 - 1599),1555 BANCROFT AVE,18MFF-0058,APPROVED,2,37.7243975297434,-122.391505116383,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
13,1219101,"Halal Cart, LLC",Push Cart,2,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),400 MONTGOMERY ST,18MFF-0103,APPROVED,2,37.7931486269835,-122.402567175578,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0103&ExportPDF=1&Filename=18MFF-0103_schedule.pdf,09/12/2018 12:00:00 AM,2018-09-12,07/15/2019 12:00:00 AM
14,1189471,Roadside Rotisserie Corporation / Country Grill,Truck,1,3075000,BRANNAN ST: STANFORD ST to JACK LONDON ALY (324 - 353),333 BRANNAN ST,18MFF-0069,APPROVED,2,37.780918000993,-122.392416983133,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0069&ExportPDF=1&Filename=18MFF-0069_schedule.pdf,07/13/2018 12:00:00 AM,2018-07-13,07/15/2019 12:00:00 AM
15,1184846,Liang Bai Ping,Truck,1,10215000,PALOU AVE: END to GRIFFITH ST (904 - 999),Assessors Block /Lot,18MFF-0058,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
16,1181845,Anas Goodies Catering,Truck,1,8754101,MARKET ST: 10TH ST \ FELL ST \ POLK ST to 11TH ST (1401 - 1455) -- SOUTH --,1411 MARKET ST,18MFF-0048,APPROVED,2,37.7758255197583,-122.417249626643,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
17,1174531,CC Acquisition LLC,Push Cart,2,8742101,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,525 MARKET ST,18MFF-0034,REQUESTED,1,37.7904067199405,-122.399275886086,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0034&ExportPDF=1&Filename=18MFF-0034_schedule.pdf,,2018-06-12,07/15/2019 12:00:00 AM
18,1181902,Park's Catering,Truck,1,198201,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3400 - 3498) -- WEST --,3450 03RD ST,18MFF-0050,APPROVED,2,37.7457292216884,-122.387797650837,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0050&ExportPDF=1&Filename=18MFF-0050_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
19,1090089,Tacos El Primo,Truck,1,10829000,QUINT ST: DAVIDSON AVE to EVANS AVE (300 - 399),1700 EVANS AVE,18MFF-0006,REQUESTED,1,37.744889286143,-122.390971976935,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0006&ExportPDF=1&Filename=18MFF-0006_schedule.pdf,,2018-02-05,07/15/2019 12:00:00 AM
20,1181849,Anas Goodies Catering,Truck,1,11833000,SHOTWELL ST: 15TH ST to 16TH ST (100 - 199),131 SHOTWELL ST,18MFF-0048,APPROVED,2,37.7479309361129,-122.415193153909,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
21,1037687,Munch A Bunch,Truck,1,784000,17TH ST: SAN BRUNO AVE to UTAH ST (2200 - 2299),2222 17TH ST,17MFF-0197,EXPIRED,3,37.7652159489938,-122.406006972029,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0197&ExportPDF=1&Filename=17MFF-0197_schedule.pdf,11/21/2017 12:00:00 AM,2017-11-16,07/15/2018 12:00:00 AM
22,1042438,Ruru Juice LLC,Truck,1,12316000,SUTTER ST: SANSOME ST to MONTGOMERY ST (50 - 99),80 SUTTER ST,17MFF-0198,REQUESTED,1,37.7903462473414,-122.401850190989,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0198&ExportPDF=1&Filename=17MFF-0198_schedule.pdf,,2017-11-29,
23,1184104,D & T Catering,Truck,1,13448000,WASHINGTON ST: LAUREL ST to LOCUST ST (3500 - 3599),3550 WASHINGTON ST,18MFF-0057,APPROVED,2,37.7896668269621,-122.451627836117,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0057&ExportPDF=1&Filename=18MFF-0057_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
24,1163785,"SOHOMEI, LLC",Truck,1,5073000,EDDY ST: STEINER ST to PIERCE ST (1600 - 1699),1652 EDDY ST,18MFF-0028,REQUESTED,1,37.7815967457602,-122.43485778844,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,,2018-05-21,07/15/2019 12:00:00 AM
25,1181896,Park's Catering,Truck,1,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1555 BURKE AVE,18MFF-0050,APPROVED,2,37.743713475368,-122.385964790036,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0050&ExportPDF=1&Filename=18MFF-0050_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
26,1193827,Eva's Catering,Truck,1,3081000,BRANNAN ST: 05TH ST to 06TH ST \ I-280 NORTHBOUND \ I-280 SOUTHBOUND (600 - 699),630 BRANNAN ST,18MFF-0086,APPROVED,2,37.7760987531573,-122.400287239868,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0086&ExportPDF=1&Filename=18MFF-0086_schedule.pdf,07/26/2018 12:00:00 AM,2018-07-26,07/15/2019 12:00:00 AM
27,1163405,Julie's Hot Dogs,Truck,1,9121000,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2365 MISSION ST,17MFF-0190,APPROVED,2,37.7592402851502,-122.418544171117,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0190&ExportPDF=1&Filename=17MFF-0190_schedule.pdf,05/17/2018 12:00:00 AM,2017-08-24,07/15/2019 12:00:00 AM
28,1181508,John's Catering #5,Truck,1,8756101,MARKET ST: 12TH ST \ PAGE ST to FRANKLIN ST (1591 - 1615) -- SOUTH --,1601 MARKET ST,18MFF-0045,APPROVED,2,37.7739150656798,-122.420026291504,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0045&ExportPDF=1&Filename=18MFF-0045_schedule.pdf,07/06/2018 12:00:00 AM,2018-07-06,07/15/2019 12:00:00 AM
29,1181897,Park's Catering,Truck,1,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),330 NEWHALL ST,18MFF-0050,APPROVED,2,37.7429898747753,-122.386773267176,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0050&ExportPDF=1&Filename=18MFF-0050_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
30,1181512,John's Catering #5,Truck,1,6834000,HAYES ST: SHRADER ST to STANYAN ST (2200 - 2299),2200 HAYES ST,18MFF-0045,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0045&ExportPDF=1&Filename=18MFF-0045_schedule.pdf,07/06/2018 12:00:00 AM,2018-07-06,07/15/2019 12:00:00 AM
31,1190029,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,2,8747202,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,18MFF-0080,APPROVED,2,37.7851109204478,-122.407422668277,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0080&ExportPDF=1&Filename=18MFF-0080_schedule.pdf,07/17/2018 12:00:00 AM,2018-07-16,07/15/2019 12:00:00 AM
32,1184094,Curry Up Now,Truck,1,24571000,WASHINGTON ST: DRUMM ST intersection,370 DRUMM ST,18MFF-0056,APPROVED,2,37.7969137124835,-122.396650675264,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0056&ExportPDF=1&Filename=18MFF-0056_schedule.pdf,07/12/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
33,1199766,Two G's Catering,Truck,1,185105,03RD ST: WARRIORS WAY to 16TH ST (1601 - 1799) -- EAST --,1799 03RD ST,18MFF-0090,APPROVED,2,37.7679955456856,-122.387549426547,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0090&ExportPDF=1&Filename=18MFF-0090_schedule.pdf,08/06/2018 12:00:00 AM,2018-08-06,07/15/2019 12:00:00 AM
34,1181883,Quan Catering,Truck,1,198101,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,18MFF-0049,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0049&ExportPDF=1&Filename=18MFF-0049_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
35,963998,Singh Brothers Ice Cream,Truck,1,10327000,PENINSULA AVE: BLANKEN AVE to LATHROP AVE (300 - 399),360 PENINSULA AVE,17MFF-0182,REQUESTED,1,37.7108412835853,-122.399642614963,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,,2017-04-18,03/15/2018 12:00:00 AM
36,1089698,El Tonayense #60,Truck,1,6752000,HARRISON ST: MISTRAL ST to 20TH ST (2345 - 2399),2355 FOLSOM ST,18MFF-0004,REQUESTED,1,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0004&ExportPDF=1&Filename=18MFF-0004_schedule.pdf,,2018-02-05,07/15/2019 12:00:00 AM
37,1183673,Paradise Catering,Truck,1,4086000,CLAY ST: MONTGOMERY ST to KEARNY ST (600 - 699),634 CLAY ST,18MFF-0052,APPROVED,2,37.7947930010178,-122.403863885865,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0052&ExportPDF=1&Filename=18MFF-0052_schedule.pdf,07/10/2018 12:00:00 AM,2018-07-10,07/15/2019 12:00:00 AM
38,1181841,Anas Goodies Catering,Truck,1,8714000,MARIPOSA ST: TENNESSEE ST to 04TH ST \ MINNESOTA ST (600 - 699),601 MARIPOSA ST,18MFF-0048,APPROVED,2,37.7640520899242,-122.390144393988,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
39,1037691,Munch A Bunch,Truck,1,8137000,LARKIN ST: FERN ST to BUSH ST (1127 - 1199),1144 LARKIN ST,17MFF-0197,EXPIRED,3,37.7885275753132,-122.418313685721,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0197&ExportPDF=1&Filename=17MFF-0197_schedule.pdf,11/21/2017 12:00:00 AM,2017-11-16,07/15/2018 12:00:00 AM
40,1189524,Linda's Catering,Truck,1,2868000,BEALE ST: BRYANT ST \ DELANCEY ST to END (500 - 599),501 BEALE ST,18MFF-0074,APPROVED,2,37.7862367744654,-122.389066205605,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0074&ExportPDF=1&Filename=18MFF-0074_schedule.pdf,07/13/2018 12:00:00 AM,2018-07-13,07/15/2019 12:00:00 AM
41,963995,Singh Brothers Ice Cream,Truck,1,4938000,KISKA RD: DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),195 KISKA RD,17MFF-0182,REQUESTED,1,37.729438288454,-122.376657800723,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,,2017-04-18,03/15/2018 12:00:00 AM
42,1185383,Philz Coffee Truck,Truck,1,12323000,SUTTER ST: POWELL ST to MASON ST (500 - 599),556 SUTTER ST,18MFF-0061,APPROVED,2,37.7893854510391,-122.409591260467,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0061&ExportPDF=1&Filename=18MFF-0061_schedule.pdf,07/12/2018 12:00:00 AM,2018-07-12,07/15/2019 12:00:00 AM
43,1189929,JapaCurry,Truck,1,7032000,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),400 HOWARD ST,18MFF-0076,APPROVED,2,37.7891192076677,-122.395881039335,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0076&ExportPDF=1&Filename=18MFF-0076_schedule.pdf,07/16/2018 12:00:00 AM,2018-07-16,07/15/2019 12:00:00 AM
44,946047,The Huge Hotdog Concession,Truck,1,10567000,POLK ST: BUSH ST to AUSTIN ST \ FRANK NORRIS ST (1300 - 1329),1300 POLK ST,17MFF-0139,EXPIRED,3,37.7888771172666,-122.420091020038,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0139&ExportPDF=1&Filename=17MFF-0139_schedule.pdf,03/09/2017 12:00:00 AM,2017-03-09,07/15/2018 12:00:00 AM
45,1193829,Eva's Catering,Truck,1,10006000,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1900 19TH AVE,18MFF-0086,APPROVED,2,37.7521241631187,-122.475872322222,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0086&ExportPDF=1&Filename=18MFF-0086_schedule.pdf,07/26/2018 12:00:00 AM,2018-07-26,07/15/2019 12:00:00 AM
46,1037696,Munch A Bunch,Truck,1,9114000,MISSION ST: 14TH ST to 15TH ST (1800 - 1899),1850 MISSION ST,17MFF-0197,EXPIRED,3,37.7673476707041,-122.420476639081,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0197&ExportPDF=1&Filename=17MFF-0197_schedule.pdf,11/21/2017 12:00:00 AM,2017-11-16,07/15/2018 12:00:00 AM
47,1189956,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,2,6108000,GEARY ST: GRANT AVE to STOCKTON ST (100 - 199),100 GEARY ST,18MFF-0078,APPROVED,2,37.7879142297241,-122.405270523095,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0078&ExportPDF=1&Filename=18MFF-0078_schedule.pdf,07/17/2018 12:00:00 AM,2018-07-16,07/15/2019 12:00:00 AM
48,963990,Singh Brothers Ice Cream,Truck,1,7479000,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,17MFF-0182,REQUESTED,1,37.7267279782571,-122.388658428832,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,,2017-04-18,03/15/2018 12:00:00 AM
49,1181504,John's Catering #5,Truck,1,6745000,HARRISON ST: 16TH ST \ TREAT AVE to 17TH ST (2000 - 2099),2010 HARRISON ST,18MFF-0045,APPROVED,2,37.7875875047281,-122.390471540332,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0045&ExportPDF=1&Filename=18MFF-0045_schedule.pdf,07/06/2018 12:00:00 AM,2018-07-06,07/15/2019 12:00:00 AM
50,1184086,F & C Catering,Truck,1,12491000,TENNESSEE ST: END to 26TH ST (1500 - 1599),1500 TENNESSEE ST,18MFF-0055,APPROVED,2,37.7522416684803,-122.389188542589,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0055&ExportPDF=1&Filename=18MFF-0055_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
51,1199767,Two G's Catering,Truck,1,2954000,BERRY ST: 04TH ST to 05TH ST (200 - 299),201 BERRY ST,18MFF-0090,APPROVED,2,37.7755661544145,-122.393279842341,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0090&ExportPDF=1&Filename=18MFF-0090_schedule.pdf,08/06/2018 12:00:00 AM,2018-08-06,07/15/2019 12:00:00 AM
52,1184113,D & T Catering,Truck,1,10163000,PACIFIC AVE: LYON ST to PRESIDIO AVE \ PRESIDIO BLVD (3100 - 3199),3100 PACIFIC AVE,18MFF-0057,APPROVED,2,37.7920290580811,-122.446576890144,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0057&ExportPDF=1&Filename=18MFF-0057_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
53,1186400,Tres Agaves Mexican Kitchen & Tequila Lounge LLC. dba Tres Truck,Truck,1,711000,16TH ST: KANSAS ST to VERMONT ST (1700 - 1799),1700 16TH ST,18MFF-0065,APPROVED,2,37.76621745068,-122.403952784121,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0065&ExportPDF=1&Filename=18MFF-0065_schedule.pdf,07/12/2018 12:00:00 AM,2018-07-12,07/15/2019 12:00:00 AM
54,1184110,D & T Catering,Truck,1,13115000,VALLEJO ST: WEBSTER ST to FILLMORE ST (2200 - 2299),2201 VALLEJO ST,18MFF-0057,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0057&ExportPDF=1&Filename=18MFF-0057_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
55,1184835,Liang Bai Ping,Truck,1,2709000,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1440 BANCROFT AVE,18MFF-0058,APPROVED,2,37.7241728927613,-122.389735429011,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0058&ExportPDF=1&Filename=18MFF-0058_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
56,1181855,Anas Goodies Catering,Truck,1,7200000,INDIANA ST: 26TH ST to CESAR CHAVEZ ST (1500 - 1599),1575 INDIANA ST,18MFF-0048,APPROVED,2,37.7508496068125,-122.390027615501,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0048&ExportPDF=1&Filename=18MFF-0048_schedule.pdf,07/09/2018 12:00:00 AM,2018-07-09,07/15/2019 12:00:00 AM
57,1163791,"SOHOMEI, LLC",Truck,1,4083000,CLAY ST: BATTERY ST to SANSOME ST (400 - 499),432 CLAY ST,18MFF-0028,REQUESTED,1,37.7951055609814,-122.400876633726,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0028&ExportPDF=1&Filename=18MFF-0028_schedule.pdf,,2018-05-21,07/15/2019 12:00:00 AM
58,1183753,Mini Mobile Food Catering,Truck,1,5864000,FREMONT ST: FOLSOM ST to HARRISON ST \ I-80 W OFF RAMP (300 - 399),350 FREMONT ST,18MFF-0053,APPROVED,2,37.7870765303843,-122.392982624228,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0053&ExportPDF=1&Filename=18MFF-0053_schedule.pdf,07/10/2018 12:00:00 AM,2018-07-10,07/15/2019 12:00:00 AM
59,1037695,Munch A Bunch,Truck,1,12728000,TURK ST: WEBSTER ST to FILLMORE ST (1300 - 1399),1345 TURK ST,17MFF-0197,EXPIRED,3,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0197&ExportPDF=1&Filename=17MFF-0197_schedule.pdf,11/21/2017 12:00:00 AM,2017-11-16,07/15/2018 12:00:00 AM
60,1184089,F & C Catering,Truck,1,0,,Assessors Block /Lot,18MFF-0055,APPROVED,2,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0055&ExportPDF=1&Filename=18MFF-0055_schedule.pdf,07/11/2018 12:00:00 AM,2018-07-11,07/15/2019 12:00:00 AM
61,1200180,"Off the Grid Services, LLC",Truck,1,307000,05TH ST: BLUXOME ST to TOWNSEND ST (650 - 699),670 05TH ST,18MFF-0095,APPROVED,2,37.7755890799594,-122.39797690638,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0095&ExportPDF=1&Filename=18MFF-0095_schedule.pdf,08/07/2018 12:00:00 AM,2018-08-06,07/15/2019 12:00:00 AM
